--- FULL SEASON CALENDAR MAP ---
[2026-05-04T04:49:30.01+00:00] | Liga Alpha (league) | MD: 14 | Jornada 14
[2026-05-04T04:49:30.01+00:00] | Liga Alpha (league) | MD: 14 | Jornada 14
[2026-05-04T04:49:30.01+00:00] | Liga Beta (league) | MD: 14 | Jornada 14
[2026-05-04T04:49:30.01+00:00] | Liga Beta (league) | MD: 14 | Jornada 14
[2026-05-04T04:49:30.01+00:00] | Liga Beta (league) | MD: 14 | Jornada 14
[2026-05-04T04:49:30.01+00:00] | Liga Alpha (league) | MD: 14 | Jornada 14
[2026-05-05T04:49:30.01+00:00] | Liga Alpha (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Alpha (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Alpha (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Alpha (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Beta (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Beta (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Beta (league) | MD: 15 | Jornada 15
[2026-05-05T04:49:30.01+00:00] | Liga Beta (league) | MD: 15 | Jornada 15
[2026-05-06T04:49:30.01+00:00] | PIFA Champions League (groups_knockout) | MD: 4 | Semifinales - Ida
[2026-05-06T04:49:30.01+00:00] | PIFA Champions League (groups_knockout) | MD: 4 | Semifinales - Ida
[2026-05-07T04:49:30.01+00:00] | PIFA Europa League (cup) | MD: 1 | Semifinales - Ida
[2026-05-07T04:49:30.01+00:00] | PIFA Europa League (cup) | MD: 1 | Semifinales - Ida
[2026-05-08T04:49:30.01+00:00] | PIFA Champions League (groups_knockout) | MD: 4 | Semifinales - Vuelta
[2026-05-08T04:49:30.01+00:00] | PIFA Champions League (groups_knockout) | MD: 4 | Semifinales - Vuelta
[2026-05-09T04:49:30.01+00:00] | PIFA Europa League (cup) | MD: 1 | Semifinales - Vuelta
[2026-05-09T04:49:30.01+00:00] | PIFA Europa League (cup) | MD: 1 | Semifinales - Vuelta
[2026-05-10T04:49:30.01+00:00] | Liga Alpha (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Alpha (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Alpha (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Beta (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Beta (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Beta (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Alpha (league) | MD: 16 | Jornada 16
[2026-05-10T04:49:30.01+00:00] | Liga Beta (league) | MD: 16 | Jornada 16
[2026-05-11T04:49:30.01+00:00] | Liga Alpha (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Alpha (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Alpha (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Alpha (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Beta (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Beta (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Beta (league) | MD: 17 | Jornada 17
[2026-05-11T04:49:30.01+00:00] | Liga Beta (league) | MD: 17 | Jornada 17
[2026-05-12T04:49:30.01+00:00] | PIFA Champions League (groups_knockout) | MD: 5 | Final
[2026-05-13T04:49:30.01+00:00] | PIFA Europa League (cup) | MD: 2 | Final
[2026-05-14T04:49:30.01+00:00] | Liga Alpha (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Alpha (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Alpha (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Alpha (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Beta (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Beta (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Beta (league) | MD: 18 | Jornada 18
[2026-05-14T04:49:30.01+00:00] | Liga Beta (league) | MD: 18 | Jornada 18
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo A - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo A - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo A - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo B - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo A - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo B - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo B - J1
[2026-05-15T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 1 | Grupo B - J1
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo B - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo B - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo A - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo A - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo B - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo B - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo A - J2
[2026-05-16T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 2 | Grupo A - J2
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo A - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo A - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo A - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo A - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo B - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo B - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo B - J3
[2026-05-17T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 3 | Grupo B - J3
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo A - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo A - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo A - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo A - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo B - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo B - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo B - J4
[2026-05-18T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 4 | Grupo B - J4
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo A - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo A - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo A - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo A - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo B - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo B - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo B - J5
[2026-05-19T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 5 | Grupo B - J5
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo B - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo A - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo A - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo A - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo A - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo B - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo B - J6
[2026-05-20T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 6 | Grupo B - J6
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo A - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo A - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo A - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo A - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo B - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo B - J7
[2026-05-21T04:49:30.01+00:00] | PIFA Mundial de Clubes (groups_knockout) | MD: 7 | Grupo B - J7
